City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,aloleng,16.1307,119.7824,28.78,66,15,3.58,PH,1680577976
280,kloulklubed,7.0419,134.2556,27.49,78,93,3.63,PW,1680577977
281,quetta,30.199,67.0097,13.27,18,0,0.77,PK,1680577977
282,marsh harbour,26.5412,-77.0636,24.34,74,100,4.42,BS,1680577977
283,saint-joseph,-21.3667,55.6167,24.21,78,99,0.68,RE,1680577977
284,tsabong,-26.0217,22.401,16.36,29,0,4.32,BW,1680577977
285,wuwei,37.9281,102.6414,5.05,52,100,6.38,CN,1680577977
286,ternate,0.8,127.4,29.13,68,98,2.0,ID,1680577977
287,contamana,-7.3333,-75.0167,22.23,98,99,0.43,PE,1680577977
288,itacare,-14.2775,-38.9967,23.39,90,100,4.36,BR,1680577977
289,bethel,41.3712,-73.414,9.2,79,0,2.06,US,1680577769
290,dwarka,22.2394,68.9678,25.41,80,4,4.92,IN,1680577977
291,korla,41.7597,86.1469,1.62,15,0,5.07,CN,1680577977
292,musoma,-1.5,33.8,19.13,89,100,1.88,TZ,1680577977
293,goderich,43.7501,-81.7165,6.62,95,100,5.06,CA,1680577977
294,araouane,18.9048,-3.5265,22.74,9,0,1.62,ML,1680577978
295,peleduy,59.6289,112.7406,-2.57,93,100,6.41,RU,1680577978
296,ilulissat,69.2167,-51.1,-27.53,98,23,1.66,GL,1680577978
297,asau,46.4333,26.4,-0.49,97,100,2.82,RO,1680577978
298,melville,40.7934,-73.4151,10.42,84,0,5.14,US,1680577689
299,petropavlovsk-kamchatskiy,53.0452,158.6483,4.33,42,0,3.0,RU,1680577978
300,ponta delgada,37.7333,-25.6667,13.4,76,20,3.09,PT,1680577978
301,santa cruz,-17.8,-63.1667,23.7,94,75,2.06,BO,1680577978
302,shache,38.4167,77.2406,10.13,18,100,5.41,CN,1680577978
303,la ronge,55.1001,-105.2842,-10.42,95,96,2.71,CA,1680577978
304,buchanan,5.8808,-10.0467,24.91,87,86,2.46,LR,1680577978
305,callaway,30.153,-85.5699,23.33,96,40,4.63,US,1680577978
306,sinnamary,5.3833,-52.95,24.99,82,77,4.07,GF,1680577978
307,paratinga,-12.6906,-43.1842,25.26,57,100,0.82,BR,1680577978
308,alekseyevsk,57.8406,108.3492,-2.41,94,100,6.43,RU,1680577978
309,muriwai beach,-36.8167,174.45,20.53,50,1,3.79,NZ,1680577857
310,alta floresta,-9.8756,-56.0861,20.88,98,70,0.9,BR,1680577979
311,magadan,59.5667,150.8,-2.48,77,28,3.5,RU,1680577979
312,galesong,-5.3166,119.3661,29.01,74,95,3.7,ID,1680577979
313,vizinga,61.0749,50.1031,-1.05,94,100,2.87,RU,1680577979
314,narva-joesuu,59.4589,28.0408,-2.56,89,100,4.62,EE,1680577979
315,maridi,4.9158,29.4742,19.94,79,73,2.64,SS,1680577979
316,byron bay,-28.65,153.6167,23.73,72,80,6.23,AU,1680577959
317,upington,-28.4478,21.2561,13.4,48,2,1.61,ZA,1680577979
318,sao raimundo nonato,-9.0153,-42.6994,22.84,66,73,1.51,BR,1680577979
319,puerto montt,-41.4698,-72.9447,6.46,93,0,1.54,CL,1680577979
320,cassilandia,-19.1133,-51.7342,20.83,87,0,0.91,BR,1680577980
321,sarkand,45.41,79.9186,10.87,26,0,1.34,KZ,1680577980
322,vanimo,-2.6741,141.3028,28.09,76,100,1.64,PG,1680577980
323,severo-kurilsk,50.6789,156.125,1.19,82,47,4.96,RU,1680577980
324,clyde river,70.4692,-68.5914,-24.2,82,2,2.8,CA,1680577980
325,kitami,43.8031,143.8908,15.51,39,100,3.41,JP,1680577980
326,nassjo,57.6531,14.6968,-7.49,91,100,1.07,SE,1680577980
327,hervey bay,-25.2986,152.8535,26.2,60,10,2.84,AU,1680577980
328,leiyang,26.4024,112.8591,24.17,81,100,4.93,CN,1680577980
329,sur,22.5667,59.5289,23.53,58,75,1.25,OM,1680577812
330,bud,39.447,-86.1758,17.01,76,14,4.68,US,1680577980
331,wanaka,-44.7,169.15,18.39,50,19,1.34,NZ,1680577980
332,zhumadian,32.9794,114.0294,9.25,86,100,7.48,CN,1680577899
333,klyuchi,52.2667,79.1667,4.31,40,0,2.82,RU,1680577981
334,tucurui,-3.7661,-49.6725,22.03,98,96,0.43,BR,1680577981
335,labuhan,-6.8844,112.2051,28.51,70,100,2.51,ID,1680577981
336,north bend,43.4065,-124.2243,6.2,75,75,4.12,US,1680577981
337,portland,45.5234,-122.6762,7.27,84,59,3.13,US,1680577906
338,bushehr,28.9684,50.8385,18.05,63,0,3.09,IR,1680577981
339,feicheng,35.2606,117.9675,11.68,97,100,2.48,CN,1680577981
340,narovchat,53.8765,43.6946,6.45,72,94,3.03,RU,1680577981
341,abilene,32.4487,-99.7331,25.15,17,0,4.63,US,1680577769
342,chara,56.9064,118.2631,-5.79,64,80,4.26,RU,1680577981
343,bulls,-40.1667,175.3833,17.9,71,20,2.63,NZ,1680577982
344,takoradi,4.8845,-1.7554,26.26,84,84,2.2,GH,1680577982
345,lacarak,45.0022,19.5686,2.19,66,100,6.8,RS,1680577982
346,norman wells,65.282,-126.8329,-8.97,95,40,0.74,CA,1680577983
347,porto velho,-8.7619,-63.9039,24.03,94,40,0.0,BR,1680577983
348,carnarvon,-24.8667,113.6333,25.13,66,50,5.65,AU,1680577983
349,amot,59.5714,7.9877,-5.45,89,22,2.06,NO,1680577984
350,yulara,-25.2406,130.9889,29.34,34,100,3.28,AU,1680577984
351,ileza,61.0533,43.9002,-0.36,98,100,3.03,RU,1680577985
352,omsukchan,62.5333,155.8,-11.85,67,0,3.17,RU,1680577986
353,dickinson,29.4608,-95.0513,25.05,88,75,4.63,US,1680577873
354,sattahip,12.6664,100.9007,34.72,66,20,5.14,TH,1680577986
355,shu,43.5983,73.7614,9.57,29,100,4.87,KZ,1680577987
356,olinda,-8.0089,-34.8553,25.85,78,40,1.54,BR,1680577987
357,nizhniy kuranakh,58.8353,125.4869,-4.12,94,100,5.65,RU,1680577987
358,mayor pablo lagerenza,-19.9309,-60.7718,25.31,70,73,2.13,PY,1680577988
359,port-gentil,-0.7193,8.7815,27.11,78,100,3.41,GA,1680577988
360,okato,-39.2,173.8833,19.39,100,0,4.12,NZ,1680577989
361,drayton valley,53.2168,-114.9854,-1.8,86,57,2.86,CA,1680577989
362,jansath,29.3333,77.85,23.58,44,99,2.55,IN,1680577989
363,boguchany,58.3814,97.4531,0.46,94,100,2.98,RU,1680577989
364,srandakan,-7.9386,110.2506,28.51,69,85,1.92,ID,1680577989
